scenario,region,fuel,Units,1990,2005,2010,2015,2020,2025,2030,2035
Current Policies,NH,elect_td_bld,1975$/GJ,15.6231,15.087,15.0399,13.146,8.89944,8.21419,8.45909,9.4444
Current Policies,NJ,elect_td_bld,1975$/GJ,14.5636,13.5002,13.537,12.2167,8.48385,7.67252,8.29815,9.73061
Current Policies,NM,elect_td_bld,1975$/GJ,14.0251,12.1215,12.0377,11.1411,7.37796,6.79352,7.11326,7.76876
Current Policies,Northwest grid,delivered gas,1975$/GJ,2.40303,3.47026,3.4792,2.57618,2.29301,2.60909,2.37379,2.641
Current Policies,Northwest grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
Current Policies,NV,elect_td_bld,1975$/GJ,14.7989,12.849,12.8171,11.9323,7.64422,6.8153,6.92825,7.52503
Current Policies,NY,elect_td_bld,1975$/GJ,14.0414,13.8203,13.8622,12.1745,8.12116,7.24787,7.29581,8.0493
Current Policies,OH,elect_td_bld,1975$/GJ,14.5119,13.0472,13.2295,12.5699,7.9755,7.88183,8.50113,9.58401
Current Policies,OK,elect_td_bld,1975$/GJ,12.558,11.9031,11.8297,9.85661,7.41792,6.97653,7.05362,7.44206
Current Policies,OR,elect_td_bld,1975$/GJ,14.7989,12.849,12.8171,11.9323,7.59674,6.80699,6.91307,7.48901
Current Policies,PA,elect_td_bld,1975$/GJ,14.5636,13.5002,13.537,12.2167,8.48447,7.67328,8.29944,9.73268
Current Policies,RI,elect_td_bld,1975$/GJ,15.6231,15.087,15.0399,13.146,8.89982,8.21463,8.45986,9.44601
Current Policies,SC,elect_td_bld,1975$/GJ,15.1924,13.5532,13.4677,12.0235,7.83226,7.65164,7.89225,8.5995
Current Policies,SD,elect_td_bld,1975$/GJ,14.328,12.6014,12.4122,11.6872,7.67679,7.3602,7.58817,8.6311
Current Policies,Southeast grid,delivered gas,1975$/GJ,2.20613,3.27336,3.2823,2.37928,2.09611,2.41219,2.17689,2.4441
Current Policies,Southeast grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
Current Policies,Southwest grid,delivered gas,1975$/GJ,2.22933,3.29656,3.3055,2.40248,2.11931,2.43539,2.20009,2.4673
Current Policies,Southwest grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
Current Policies,Texas grid,delivered gas,1975$/GJ,1.73633,2.80356,2.8125,1.90948,1.62631,1.94239,1.70709,1.9743
Current Policies,Texas grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
Current Policies,TN,elect_td_bld,1975$/GJ,15.1924,13.5532,13.4677,12.0235,7.83257,7.65191,7.8922,8.59924
Current Policies,TX,elect_td_bld,1975$/GJ,12.9271,12.4401,12.2595,10.2202,6.92839,6.52015,6.77756,7.39449
Current Policies,USA,delivered gas,1975$/GJ,2.34183,3.40906,3.418,2.51498,2.23181,2.54789,2.31259,2.5798
Current Policies,UT,elect_td_bld,1975$/GJ,14.7989,12.849,12.8171,11.9323,7.60117,6.80815,6.9154,7.49505
Current Policies,VA,elect_td_bld,1975$/GJ,15.1924,13.5532,13.4677,12.0235,7.83082,7.64881,7.88666,8.59277
Current Policies,VT,elect_td_bld,1975$/GJ,15.6231,15.087,15.0399,13.146,8.89912,8.21378,8.45843,9.44273
Current Policies,WA,elect_td_bld,1975$/GJ,14.7989,12.849,12.8171,11.9323,7.59567,6.80658,6.91228,7.48718
Current Policies,WI,elect_td_bld,1975$/GJ,14.4579,12.8543,12.9613,12.3895,8.04552,7.54659,7.82715,8.58557
Current Policies,WV,elect_td_bld,1975$/GJ,14.5119,13.0472,13.2295,12.5699,7.97512,7.88121,8.49964,9.58154
Current Policies,WY,elect_td_bld,1975$/GJ,14.0251,12.1215,12.0377,11.1411,7.3477,6.78362,7.09784,7.73604
Enhanced Ambition,AK,elect_td_bld,1975$/GJ,15.1667,15.9156,16.3321,14.7801,8.67129,9.30768,10.3554,12.6948
Enhanced Ambition,AL,elect_td_bld,1975$/GJ,15.1924,13.553,13.4676,12.0234,7.94615,7.77008,8.20431,8.75619
Enhanced Ambition,Alaska grid,delivered gas,1975$/GJ,3.51323,4.58046,4.5894,3.68638,3.40593,3.71479,3.43624,3.26006
Enhanced Ambition,Alaska grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
Enhanced Ambition,AR,elect_td_bld,1975$/GJ,15.1924,13.553,13.4676,12.0234,7.94705,7.77165,8.20713,8.75919
Enhanced Ambition,AZ,elect_td_bld,1975$/GJ,14.0251,12.1213,12.0376,11.141,7.46803,6.86083,7.55193,7.99459
Enhanced Ambition,CA,elect_td_bld,1975$/GJ,14.6447,14.1552,13.895,11.9163,8.28023,7.69483,8.14136,8.46244
Enhanced Ambition,California grid,delivered gas,1975$/GJ,2.87453,3.94176,3.9507,3.04768,2.76723,3.07609,2.79754,2.62136
Enhanced Ambition,California grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
Enhanced Ambition,Central East grid,delivered gas,1975$/GJ,2.40803,3.47526,3.4842,2.58118,2.30073,2.60959,2.33104,2.15486
Enhanced Ambition,Central East grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
Enhanced Ambition,Central Northeast grid,delivered gas,1975$/GJ,2.70913,3.77636,3.7853,2.88228,2.60183,2.91069,2.63214,2.45596
Enhanced Ambition,Central Northeast grid,elect_td_bld,1975$/GJ,0,0,0,0,0,0,0,0
