"","scenario","sector","technology","subsector","Units","USREP_region","year","invest","PercentChangeFromCPOL"
"67","Current Policies","resid heating","electric furnace","electricity","Billions 1975$","Midwest","2030",0.41436141490113,0
"68","Current Policies","resid heating","electric furnace","electricity","Billions 1975$","Midwest","2035",0.33950653157936,0
"69","Current Policies","resid heating","electric furnace","electricity","Billions 1975$","NewEngland","2020",0.18100173817561,0
"70","Current Policies","resid heating","electric furnace","electricity","Billions 1975$","NewEngland","2025",0.14579612957295,0
"71","Current Policies","resid heating","electric furnace","electricity","Billions 1975$","NewEngland","2030",0.12850346148706,0
"72","Current Policies","resid heating","electric furnace","electricity","Billions 1975$","NewEngland","2035",0.1071614519192,0
"73","Current Policies","resid heating","electric furnace","electricity","Billions 1975$","PacificNorthwest","2020",0.23537132945987,0
"74","Current Policies","resid heating","electric furnace","electricity","Billions 1975$","PacificNorthwest","2025",0.18858760971088,0
"75","Current Policies","resid heating","electric furnace","electricity","Billions 1975$","PacificNorthwest","2030",0.16642464101126,0
"76","Current Policies","resid heating","electric furnace","electricity","Billions 1975$","PacificNorthwest","2035",0.13676437626971,0
"77","Current Policies","resid heating","electric furnace","electricity","Billions 1975$","RockiesCentral","2020",0.13188446910316,0
"78","Current Policies","resid heating","electric furnace","electricity","Billions 1975$","RockiesCentral","2025",0.10741240461715,0
"79","Current Policies","resid heating","electric furnace","electricity","Billions 1975$","RockiesCentral","2030",0.09727189103802,0
"80","Current Policies","resid heating","electric furnace","electricity","Billions 1975$","RockiesCentral","2035",0.08331042851918,0
"81","Current Policies","resid heating","electric furnace","electricity","Billions 1975$","SouthAtlantic","2020",0.54184874887757,0
"82","Current Policies","resid heating","electric furnace","electricity","Billions 1975$","SouthAtlantic","2025",0.47526545799279,0
"83","Current Policies","resid heating","electric furnace","electricity","Billions 1975$","SouthAtlantic","2030",0.42907750144597,0
"84","Current Policies","resid heating","electric furnace","electricity","Billions 1975$","SouthAtlantic","2035",0.36154094659772,0
"85","Current Policies","resid heating","electric furnace","electricity","Billions 1975$","West","2020",0.21572133935032,0
"86","Current Policies","resid heating","electric furnace","electricity","Billions 1975$","West","2025",0.17893937777022,0
"87","Current Policies","resid heating","electric furnace","electricity","Billions 1975$","West","2030",0.1599082577256,0
"88","Current Policies","resid heating","electric furnace","electricity","Billions 1975$","West","2035",0.13512161623215,0
"89","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","AK-HI","2020",0.00828578966449,0
"90","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","AK-HI","2025",0.01708347528747,0
"91","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","AK-HI","2030",0.02940479562882,0
"92","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","AK-HI","2035",0.0434217249412,0
"93","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","Appalachia","2020",0.3689413936746,0
"94","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","Appalachia","2025",0.6027449921709,0
"95","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","Appalachia","2030",0.8746447633611,0
"96","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","Appalachia","2035",1.0453716837592,0
"97","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","GulfCoast","2020",0.1771883358651,0
"98","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","GulfCoast","2025",0.2452154015687,0
"99","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","GulfCoast","2030",0.3276805002246,0
"100","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","GulfCoast","2035",0.4207742256688,0
"101","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","MidA","2020",0.3115775435072,0
"102","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","MidA","2025",0.46918839973073,0
"103","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","MidA","2030",0.61179724015104,0
"104","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","MidA","2035",0.74326131132909,0
"105","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","Midcontinent","2020",0.1951131565435,0
"106","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","Midcontinent","2025",0.31626849652184,0
"107","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","Midcontinent","2030",0.45299321021731,0
"108","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","Midcontinent","2035",0.54265689880184,0
"109","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","Midwest","2020",0.2886536470987,0
"110","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","Midwest","2025",0.6210062229818,0
"111","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","Midwest","2030",0.9997503533964,0
"112","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","Midwest","2035",1.1566828448607,0
"113","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","NewEngland","2020",0.12923171503193,0
"114","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","NewEngland","2025",0.37707745701531,0
"115","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","NewEngland","2030",0.60236107560106,0
"116","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","NewEngland","2035",0.66926482633161,0
"117","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","PacificNorthwest","2020",0.1275253804612,0
"118","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","PacificNorthwest","2025",0.1681308673468,0
"119","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","PacificNorthwest","2030",0.216714254649,0
"120","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","PacificNorthwest","2035",0.2571139087008,0
"121","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","RockiesCentral","2020",0.07521555989872,0
"122","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","RockiesCentral","2025",0.14613686601474,0
"123","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","RockiesCentral","2030",0.22176678946861,0
"124","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","RockiesCentral","2035",0.26859454362578,0
"125","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","SouthAtlantic","2020",0.2405967785792,0
"126","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","SouthAtlantic","2025",0.3195887444056,0
"127","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","SouthAtlantic","2030",0.4053966153169,0
"128","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","SouthAtlantic","2035",0.4970526400604,0
"129","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","West","2020",0.1499271525896,0
"130","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","West","2025",0.2427165990603,0
"131","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","West","2030",0.340443542549,0
"132","Current Policies","resid heating","electric heat pump","electricity","Billions 1975$","West","2035",0.40840295913078,0
"133","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","AK-HI","2020",0.01622447313825,0
"134","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","AK-HI","2025",0.01789222471875,0
"135","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","AK-HI","2030",0.0136091609880341,0
"136","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","AK-HI","2035",0.0125214773397846,0
"137","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","Appalachia","2020",0.29072344219712,0
"138","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","Appalachia","2025",0.32492507670271,0
"139","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","Appalachia","2030",0.24520836700577,0
"140","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","Appalachia","2035",0.226616305246927,0
"141","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","GulfCoast","2020",0.0257358102666,0
"142","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","GulfCoast","2025",0.02917709111561,0
"143","Current Policies","resid heating","fuel furnace","refined liquids","Billions 1975$","GulfCoast","2030",0.0217676471429905,0
