"","scenario","subsector","Units","USREP_region","year","value","PercentChangeFromCPOL"
"89","Current Policies","electricity","Billions 1975$","AK-HI","2020",0.0810592921994,0
"90","Current Policies","electricity","Billions 1975$","AK-HI","2025",0.099061893373917,0
"91","Current Policies","electricity","Billions 1975$","AK-HI","2030",0.107795653810657,0
"92","Current Policies","electricity","Billions 1975$","AK-HI","2035",0.128258672313523,0
"93","Current Policies","electricity","Billions 1975$","Appalachia","2020",1.9819343836588,0
"94","Current Policies","electricity","Billions 1975$","Appalachia","2025",2.20620505473212,0
"95","Current Policies","electricity","Billions 1975$","Appalachia","2030",2.4573178556049,0
"96","Current Policies","electricity","Billions 1975$","Appalachia","2035",2.85953754434809,0
"97","Current Policies","electricity","Billions 1975$","GulfCoast","2020",1.17728380057821,0
"98","Current Policies","electricity","Billions 1975$","GulfCoast","2025",1.23699368614778,0
"99","Current Policies","electricity","Billions 1975$","GulfCoast","2030",1.31624854123916,0
"100","Current Policies","electricity","Billions 1975$","GulfCoast","2035",1.50145329946253,0
"101","Current Policies","electricity","Billions 1975$","MidA","2020",1.79149880089165,0
"102","Current Policies","electricity","Billions 1975$","MidA","2025",1.91278119474257,0
"103","Current Policies","electricity","Billions 1975$","MidA","2030",2.05453968365279,0
"104","Current Policies","electricity","Billions 1975$","MidA","2035",2.35983500166257,0
"105","Current Policies","electricity","Billions 1975$","Midcontinent","2020",1.04231202820651,0
"106","Current Policies","electricity","Billions 1975$","Midcontinent","2025",1.14694710614288,0
"107","Current Policies","electricity","Billions 1975$","Midcontinent","2030",1.23860807361453,0
"108","Current Policies","electricity","Billions 1975$","Midcontinent","2035",1.42115367766423,0
"109","Current Policies","electricity","Billions 1975$","Midwest","2020",1.39693592395356,0
"110","Current Policies","electricity","Billions 1975$","Midwest","2025",1.75561627878961,0
"111","Current Policies","electricity","Billions 1975$","Midwest","2030",2.07497046004436,0
"112","Current Policies","electricity","Billions 1975$","Midwest","2035",2.44865485580296,0
"113","Current Policies","electricity","Billions 1975$","NewEngland","2020",0.73414156318768,0
"114","Current Policies","electricity","Billions 1975$","NewEngland","2025",1.01746099722496,0
"115","Current Policies","electricity","Billions 1975$","NewEngland","2030",1.2732235141229,0
"116","Current Policies","electricity","Billions 1975$","NewEngland","2035",1.55890355394601,0
"117","Current Policies","electricity","Billions 1975$","PacificNorthwest","2020",0.76007414349637,0
"118","Current Policies","electricity","Billions 1975$","PacificNorthwest","2025",0.76756547623459,0
"119","Current Policies","electricity","Billions 1975$","PacificNorthwest","2030",0.8001432235025,0
"120","Current Policies","electricity","Billions 1975$","PacificNorthwest","2035",0.91694774742192,0
"121","Current Policies","electricity","Billions 1975$","RockiesCentral","2020",0.36541668094018,0
"122","Current Policies","electricity","Billions 1975$","RockiesCentral","2025",0.43453056280675,0
"123","Current Policies","electricity","Billions 1975$","RockiesCentral","2030",0.51097218262047,0
"124","Current Policies","electricity","Billions 1975$","RockiesCentral","2035",0.60586402999153,0
"125","Current Policies","electricity","Billions 1975$","SouthAtlantic","2020",2.07574481462832,0
"126","Current Policies","electricity","Billions 1975$","SouthAtlantic","2025",2.16511857444077,0
"127","Current Policies","electricity","Billions 1975$","SouthAtlantic","2030",2.21015431691914,0
"128","Current Policies","electricity","Billions 1975$","SouthAtlantic","2035",2.47664447249975,0
"129","Current Policies","electricity","Billions 1975$","West","2020",0.67425016767543,0
"130","Current Policies","electricity","Billions 1975$","West","2025",0.79409190454054,0
"131","Current Policies","electricity","Billions 1975$","West","2030",0.91609211948391,0
"132","Current Policies","electricity","Billions 1975$","West","2035",1.07643982669954,0
"133","Current Policies","gas","Billions 1975$","AK-HI","2020",NA,NA
"134","Current Policies","gas","Billions 1975$","AK-HI","2025",NA,NA
"135","Current Policies","gas","Billions 1975$","AK-HI","2030",NA,NA
"136","Current Policies","gas","Billions 1975$","AK-HI","2035",NA,NA
"137","Current Policies","gas","Billions 1975$","Appalachia","2020",NA,NA
"138","Current Policies","gas","Billions 1975$","Appalachia","2025",NA,NA
"139","Current Policies","gas","Billions 1975$","Appalachia","2030",NA,NA
"140","Current Policies","gas","Billions 1975$","Appalachia","2035",NA,NA
"141","Current Policies","gas","Billions 1975$","GulfCoast","2020",NA,NA
"142","Current Policies","gas","Billions 1975$","GulfCoast","2025",NA,NA
"143","Current Policies","gas","Billions 1975$","GulfCoast","2030",NA,NA
"144","Current Policies","gas","Billions 1975$","GulfCoast","2035",NA,NA
"145","Current Policies","gas","Billions 1975$","MidA","2020",NA,NA
"146","Current Policies","gas","Billions 1975$","MidA","2025",NA,NA
"147","Current Policies","gas","Billions 1975$","MidA","2030",NA,NA
"148","Current Policies","gas","Billions 1975$","MidA","2035",NA,NA
"149","Current Policies","gas","Billions 1975$","Midcontinent","2020",NA,NA
"150","Current Policies","gas","Billions 1975$","Midcontinent","2025",NA,NA
"151","Current Policies","gas","Billions 1975$","Midcontinent","2030",NA,NA
"152","Current Policies","gas","Billions 1975$","Midcontinent","2035",NA,NA
"153","Current Policies","gas","Billions 1975$","Midwest","2020",NA,NA
"154","Current Policies","gas","Billions 1975$","Midwest","2025",NA,NA
"155","Current Policies","gas","Billions 1975$","Midwest","2030",NA,NA
"156","Current Policies","gas","Billions 1975$","Midwest","2035",NA,NA
"157","Current Policies","gas","Billions 1975$","NewEngland","2020",NA,NA
"158","Current Policies","gas","Billions 1975$","NewEngland","2025",NA,NA
"159","Current Policies","gas","Billions 1975$","NewEngland","2030",NA,NA
"160","Current Policies","gas","Billions 1975$","NewEngland","2035",NA,NA
"161","Current Policies","gas","Billions 1975$","PacificNorthwest","2020",NA,NA
"162","Current Policies","gas","Billions 1975$","PacificNorthwest","2025",NA,NA
"163","Current Policies","gas","Billions 1975$","PacificNorthwest","2030",NA,NA
"164","Current Policies","gas","Billions 1975$","PacificNorthwest","2035",NA,NA
"165","Current Policies","gas","Billions 1975$","RockiesCentral","2020",NA,NA
